"Genes","Process_name","Significant_genes_count","Total_genes_group_count","Percent_significant_genes","P-value","Padj-value"
"Serping1;","GO:0001869~negative regulation of complement activation, lectin pathway",1,2,50,0.0226968899691784,0.120766874434933
"Hp;","GO:0001889~liver development",1,69,1.44927536231884,0.415214995734485,0.456003223792288
"Htra1;","GO:0001890~placenta development",1,47,2.12765957446809,0.307681841738858,0.358481771112603
"Epas1;","GO:0001892~embryonic placenta development",1,27,3.7037037037037,0.192974539273191,0.263749542001133
"Igf1; Prkar1b; Tnf;","GO:0001932~regulation of protein phosphorylation",3,64,4.6875,0.0145981296085078,0.120766874434933
"Csf1r; Gas6; Tnf;","GO:0001934~positive regulation of protein phosphorylation",3,191,1.57068062827225,0.184795727067248,0.258461281211062
"Tnf;","GO:0001937~negative regulation of endothelial cell proliferation",1,31,3.2258064516129,0.217335267164804,0.286043109562142
"Lrp5;","GO:0001944~vasculature development",1,25,4,0.180513002792551,0.253329249335104
"Col1a1;","GO:0001957~intramembranous ossification",1,5,20,0.044881610440662,0.132908340441841
"Col1a1;","GO:0001958~endochondral ossification",1,29,3.44827586206897,0.205247683599223,0.2741227452097
"Gas6;","GO:0001961~positive regulation of cytokine-mediated signaling pathway",1,5,20,0.044881610440662,0.132908340441841
"Epas1; Igf1;","GO:0001974~blood vessel remodeling",2,42,4.76190476190476,0.044352405466866,0.132908340441841
"Ank2; Epas1; Snta1;","GO:0002027~regulation of heart rate",3,33,9.09090909090909,0.00258318419134684,0.0755961255997091
"Dmpk;","GO:0002028~regulation of sodium ion transport",1,22,4.54545454545455,0.161461163273946,0.236603619230599
"Tnf;","GO:0002037~negative regulation of L-glutamate transport",1,2,50,0.0226968899691784,0.120766874434933
"Irs2; Lrp5;","GO:0002053~positive regulation of mesenchymal cell proliferation",2,35,5.71428571428571,0.0323185128022225,0.128368323906424
"Adamtsl4;","GO:0002064~epithelial cell development",1,14,7.14285714285714,0.108476380987898,0.189357893127998
"Lrp5;","GO:0002076~osteoblast development",1,18,5.55555555555556,0.135372143594329,0.211452563385177
"Cxcl2;","GO:0002237~response to molecule of bacterial origin",1,12,8.33333333333333,0.0947182523945602,0.175829591665275
"Hmox1;","GO:0002246~wound healing involved in inflammatory response",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Clec4a2; Clec4n;","GO:0002250~adaptive immune response",2,139,1.43884892086331,0.291944556745498,0.344993864562673
"Slc40a1;","GO:0002260~lymphocyte homeostasis",1,12,8.33333333333333,0.0947182523945602,0.175829591665275
"Fcer1g;","GO:0002283~neutrophil activation involved in immune response",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Fcer1g;","GO:0002292~T cell differentiation involved in immune response",1,4,25,0.0375428967404717,0.128368323906424
"C1qb; Cd300lg; Cd5l; Clec4a2; Clec4n; Csf1r; Fcna; Hp; Ifitm2; Lst1; Marco; Rsad2; Serping1;","GO:0002376~immune system process",13,384,3.38541666666667,1.1824093892665e-05,0.0066131906482364
"Igkv4-57-1;","GO:0002377~immunoglobulin production",1,123,0.813008130081301,0.613860986180135,0.639572441098675
"Cd300lg;","GO:0002414~immunoglobulin transcytosis in epithelial cells",1,1,100,0.015188742610548,0.120766874434933
"Fcer1g;","GO:0002431~Fc receptor mediated stimulatory signaling pathway",1,2,50,0.0226968899691784,0.120766874434933
"Tnf;","GO:0002439~chronic inflammatory response to antigenic stimulus",1,2,50,0.0226968899691784,0.120766874434933
"Itgam; Ppbp;","GO:0002523~leukocyte migration involved in inflammatory response",2,13,15.3846153846154,0.00568313191140979,0.113094325037055
"Ccl6; Ccl9;","GO:0002548~monocyte chemotaxis",2,31,6.45161290322581,0.0261327159983189,0.12498912959955
"Fcer1g; P2rx1;","GO:0002554~serotonin secretion by platelet",2,3,66.6666666666667,0.000569071851659997,0.051080023435928
"Igf1;","GO:0002683~negative regulation of immune system process",1,2,50,0.0226968899691784,0.120766874434933
"Itga2b;","GO:0002687~positive regulation of leukocyte migration",1,22,4.54545454545455,0.161461163273946,0.236603619230599
"Tnf;","GO:0002740~negative regulation of cytokine secretion involved in immune response",1,5,20,0.044881610440662,0.132908340441841
"Tnf;","GO:0002876~positive regulation of chronic inflammatory response to antigenic stimulus",1,2,50,0.0226968899691784,0.120766874434933
"Irs2;","GO:0002903~negative regulation of B cell apoptotic process",1,18,5.55555555555556,0.135372143594329,0.211452563385177
"Tnf;","GO:0002925~positive regulation of humoral immune response mediated by circulating immunoglobulin",1,7,14.2857142857143,0.0593925702484068,0.146276255933576
"P2rx1;","GO:0003056~regulation of vascular smooth muscle contraction",1,5,20,0.044881610440662,0.132908340441841
"Aqp1;","GO:0003094~glomerular filtration",1,7,14.2857142857143,0.0593925702484068,0.146276255933576
"Aqp1;","GO:0003097~renal water transport",1,2,50,0.0226968899691784,0.120766874434933
"Gas6;","GO:0003104~positive regulation of glomerular filtration",1,4,25,0.0375428967404717,0.128368323906424
"Snta1;","GO:0003117~regulation of vasoconstriction by circulating norepinephrine",1,1,100,0.015188742610548,0.120766874434933
"Slc40a1;","GO:0003158~endothelium development",1,2,50,0.0226968899691784,0.120766874434933
"Serpinh1;","GO:0003433~chondrocyte development involved in endochondral bone morphogenesis",1,1,100,0.015188742610548,0.120766874434933
"Glb1l;","GO:0005975~carbohydrate metabolic process",1,184,0.543478260869565,0.758681197061123,0.775246250621503
"Tnf;","GO:0006006~glucose metabolic process",1,62,1.61290322580645,0.382936412899831,0.425722604285287
"Lrp5;","GO:0006007~glucose catabolic process",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Idh1;","GO:0006097~glyoxylate cycle",1,2,50,0.0226968899691784,0.120766874434933
"Idh1;","GO:0006099~tricarboxylic acid cycle",1,29,3.44827586206897,0.205247683599223,0.2741227452097
"Idh1;","GO:0006102~isocitrate metabolic process",1,6,16.6666666666667,0.0521646952141753,0.137676052355715
"Idh1;","GO:0006103~2-oxoglutarate metabolic process",1,15,6.66666666666667,0.115277296922422,0.194408322775949
"Gda;","GO:0006147~guanine catabolic process",1,1,100,0.015188742610548,0.120766874434933
"Aqp1;","GO:0006182~cGMP biosynthetic process",1,26,3.84615384615385,0.186767498684174,0.258461281211062
"Polg2;","GO:0006260~DNA replication",1,119,0.840336134453782,0.601791143196846,0.628312893474147
"Polg2;","GO:0006281~DNA repair",1,328,0.304878048780488,0.920860589698926,0.929266010903074
"Hist1h2ac;","GO:0006342~chromatin silencing",1,58,1.72413793103448,0.36370263036397,0.407527159022691
"Cavin1; Epas1; Ifi204; Nfe2; Nr1h3; Smcr8; Spic;","GO:0006351~transcription, DNA-templated",7,1851,0.37817396002161,0.989937117389156,0.992930878832873
"Cavin1;","GO:0006353~DNA-templated transcription, termination",1,9,11.1111111111111,0.0736843521720593,0.156323945439657
"Cavin1; Epas1; Ifi204; Nfe2; Nr1h3; Smcr8; Spic;","GO:0006355~regulation of transcription, DNA-templated",7,2074,0.337512054001929,0.996921399976391,0.99892929806295
"Ifi204; Nfe2;","GO:0006357~regulation of transcription from RNA polymerase II promoter",2,391,0.51150895140665,0.804045432106904,0.818908783653007
"Cavin1;","GO:0006361~transcription initiation from RNA polymerase I promoter",1,4,25,0.0375428967404717,0.128368323906424
"Cavin1;","GO:0006363~termination of RNA polymerase I transcription",1,4,25,0.0375428967404717,0.128368323906424
"Srsf12;","GO:0006397~mRNA processing",1,319,0.313479623824451,0.915131022347243,0.92442169262488
"Igf1; Ppp1r15a;","GO:0006417~regulation of translation",2,126,1.58730158730159,0.255259733185055,0.315899794178022
"Dnajb13;","GO:0006457~protein folding",1,99,1.01010101010101,0.535580354824445,0.56571385674132
"Csf1r; Dmpk; Gas6; Kalrn; Mylk; Plk3; Prkar1b;","GO:0006468~protein phosphorylation",7,565,1.23893805309735,0.148093596943494,0.224921454774395
"Gadd45b; Smcr8;","GO:0006469~negative regulation of protein kinase activity",2,101,1.98019801980198,0.185412284435041,0.258461281211062
"Mttp;","GO:0006497~protein lipidation",1,11,9.09090909090909,0.0877602473306471,0.168249414439295
"Ctsf; Hp; Htra1;","GO:0006508~proteolysis",3,582,0.515463917525773,0.826665345619806,0.83931838662419
"Alox12; Hacd4; Hpgd; Ldlr; Mttp; Ptgs1;","GO:0006629~lipid metabolic process",6,457,1.31291028446389,0.143464708267255,0.220629651817494
"Alox12; Hacd4; Hpgd; Ptgs1;","GO:0006631~fatty acid metabolic process",4,155,2.58064516129032,0.0336604240105316,0.128368323906424
"Hacd4; Nr1h3; Ptgs1;","GO:0006633~fatty acid biosynthetic process",3,68,4.41176470588235,0.0170378941217443,0.120766874434933
"Mttp;","GO:0006641~triglyceride metabolic process",1,41,2.4390243902439,0.275085946117286,0.332576569121141
"Cln8;","GO:0006644~phospholipid metabolic process",1,43,2.32558139534884,0.286117298909127,0.340534344993519
"Cln8;","GO:0006672~ceramide metabolic process",1,14,7.14285714285714,0.108476380987898,0.189357893127998
"Hpgd; Ptgs1;","GO:0006693~prostaglandin metabolic process",2,15,13.3333333333333,0.00728785128878573,0.120766874434933
"Star;","GO:0006694~steroid biosynthetic process",1,58,1.72413793103448,0.36370263036397,0.407527159022691
"Star;","GO:0006699~bile acid biosynthetic process",1,11,9.09090909090909,0.0877602473306471,0.168249414439295
"Star;","GO:0006703~estrogen biosynthetic process",1,6,16.6666666666667,0.0521646952141753,0.137676052355715
"Gstm1; Idh1;","GO:0006749~glutathione metabolic process",2,44,4.54545454545455,0.0480515037933746,0.137676052355715
"Hmox1;","GO:0006788~heme oxidation",1,2,50,0.0226968899691784,0.120766874434933
"Aqp1; Fxyd4; Ldlr; Mcub; Mttp; P2rx1; Slc12a5; Slc40a1; Slc4a1; Slc5a11; Slco2a1; Snx32; Star; Trf;","GO:0006810~transport",14,1810,0.773480662983425,0.52994753250893,0.561552497173999
"Fxyd4; Mcub; P2rx1; Slc12a5; Slc40a1; Slc4a1; Slc5a11; Trf;","GO:0006811~ion transport",8,582,1.3745704467354,0.0828337331347195,0.16550113347198
"Aqp1; Slc12a5;","GO:0006813~potassium ion transport",2,129,1.55038759689922,0.263728678645314,0.322959075608133
"Slc5a11;","GO:0006814~sodium ion transport",1,124,0.806451612903226,0.616821180933457,0.641313558023813
"Mcub;","GO:0006816~calcium ion transport",1,140,0.714285714285714,0.661229355215842,0.683911859084992
"Slc4a1;","GO:0006820~anion transport",1,22,4.54545454545455,0.161461163273946,0.236603619230599
"Clca3a1; Slc12a5; Slc4a1;","GO:0006821~chloride transport",3,80,3.75,0.0256455730246035,0.12498912959955
"Slc40a1; Trf;","GO:0006826~iron ion transport",2,13,15.3846153846154,0.00568313191140979,0.113094325037055
"Aqp1;","GO:0006833~water transport",1,16,6.25,0.122026637274517,0.200027189601556
"Mcub;","GO:0006851~mitochondrial calcium ion transmembrane transport",1,12,8.33333333333333,0.0947182523945602,0.175829591665275
"Ldlr; Mttp; Star;","GO:0006869~lipid transport",3,99,3.03030303030303,0.043210673682949,0.132908340441841
"Ank2; Dmpk;","GO:0006874~cellular calcium ion homeostasis",2,95,2.10526315789474,0.169065837302868,0.244862457229045
"Hmox1; Slc40a1; Trf;","GO:0006879~cellular iron ion homeostasis",3,38,7.89473684210526,0.0037508835020359,0.0888602162982313
"Aqp1;","GO:0006884~cell volume homeostasis",1,10,10,0.0807490818296668,0.162313810950542
"Ldlr; Lrp5; Marco; Snx32;","GO:0006897~endocytosis",4,175,2.28571428571429,0.0484174352465871,0.137676052355715
"Cd302; Gas6;","GO:0006909~phagocytosis",2,52,3.84615384615385,0.0638886606200961,0.150683519637438
"Fcgr3;","GO:0006910~phagocytosis, recognition",1,143,0.699300699300699,0.668967236032331,0.689764144924528
"Fcer1g; Fcgr3;","GO:0006911~phagocytosis, engulfment",2,151,1.32450331125828,0.325610830275535,0.374546561993245
"Dram1; Smcr8;","GO:0006914~autophagy",2,148,1.35135135135135,0.317225701155144,0.368307552683043
"Adamtsl4; Cd5l; Dram1; Gadd45b; Hmox1; P2rx1; Plk3; Ppp1r15a; Slc5a11; Tnf; Tnfrsf12a;","GO:0006915~apoptotic process",11,559,1.96779964221825,0.00442706219809808,0.0957592801545127
"P2rx1; Tnf;","GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process",2,66,3.03030303030303,0.0950238561732202,0.176068411345166
"Alox12;","GO:0006928~movement of cell or subcellular component",1,21,4.76190476190476,0.155013212441001,0.230895428710772
"Tnfrsf12a;","GO:0006931~substrate-dependent cell migration, cell attachment to substrate",1,2,50,0.0226968899691784,0.120766874434933
"Ccl6; Ccl9; Cxcl2;","GO:0006935~chemotaxis",3,119,2.52100840336134,0.066686821392018,0.150683519637438
"Mylk;","GO:0006939~smooth muscle contraction",1,17,5.88235294117647,0.128724790863341,0.205587747847551
"Cald1; P2rx1;","GO:0006940~regulation of smooth muscle contraction",2,12,16.6666666666667,0.00495006321378111,0.103796336993098
"Gadd45b;","GO:0006950~response to stress",1,33,3.03030303030303,0.22924007906151,0.294694933677264
"Cxcl2; Tnf;","GO:0006952~defense response",2,116,1.72413793103448,0.227101067068312,0.294609598087315
"Hp;","GO:0006953~acute-phase response",1,29,3.44827586206897,0.205247683599223,0.2741227452097
"Ccl6; Ccl9; Cd5l; Csf1r; Cxcl2; Ptgs1; Tnf;","GO:0006954~inflammatory response",7,320,2.1875,0.0129236730467295,0.120766874434933
"Ccl6; Ccl9; Cxcl2; Igkv4-57-1; Lst1; Ppbp; Tnf;","GO:0006955~immune response",7,307,2.28013029315961,0.0105230196322608,0.120766874434933
"C1qb; Serping1;","GO:0006958~complement activation, classical pathway",2,160,1.25,0.350594745873923,0.396862084351028
"Tnf;","GO:0006959~humoral immune response",1,51,1.96078431372549,0.328598714170652,0.377111557785235
"Plk3;","GO:0006970~response to osmotic stress",1,15,6.66666666666667,0.115277296922422,0.194408322775949
"Plk3;","GO:0006974~cellular response to DNA damage stimulus",1,435,0.229885057471264,0.965602526831179,0.969500014325957
"Epas1; Hmox1; Idh1; Ptgs1; Srxn1;","GO:0006979~response to oxidative stress",5,115,4.34782608695652,0.00228428528582669,0.0752987765898767
"Dmpk;","GO:0006998~nuclear envelope organization",1,21,4.76190476190476,0.155013212441001,0.230895428710772
"Epas1;","GO:0007005~mitochondrion organization",1,71,1.40845070422535,0.424125172064296,0.462217465721768
"Cln8;","GO:0007006~mitochondrial membrane organization",1,7,14.2857142857143,0.0593925702484068,0.146276255933576
"Mtss1l;","GO:0007009~plasma membrane organization",1,16,6.25,0.122026637274517,0.200027189601556
"Tagln;","GO:0007010~cytoskeleton organization",1,103,0.970873786407767,0.549644457712076,0.578726175051339
"Trf;","GO:0007015~actin filament organization",1,90,1.11111111111111,0.502319517890887,0.535699807397034
"Gas2l1;","GO:0007026~negative regulation of microtubule depolymerization",1,24,4.16666666666667,0.174210690959664,0.248337589548519
"Cln8;","GO:0007040~lysosome organization",1,39,2.56410256410256,0.263885154240616,0.322959075608133
"Plk3; Sept10;","GO:0007049~cell cycle",2,604,0.33112582781457,0.947477635002686,0.95322572985609
"Gas2l1;","GO:0007050~cell cycle arrest",1,81,1.23456790123457,0.466691696391126,0.50038603222971
"Itga2b; Itgam; Klra2; Parvb; Svep1; Tnfrsf12a;","GO:0007155~cell adhesion",6,526,1.14068441064639,0.221185867164567,0.290070228660996
"Ceacam2;","GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules",1,99,1.01010101010101,0.535580354824445,0.56571385674132
"Itgam;","GO:0007159~leukocyte cell-cell adhesion",1,22,4.54545454545455,0.161461163273946,0.236603619230599
"Itga2b;","GO:0007160~cell-matrix adhesion",1,80,1.25,0.462579779638015,0.497048467321625
"Adgre4; Ank2; Fcer1g; Gas6; Gng11; Irs2; Ltb4r1; Ndrg1; Ptgir; Rasd1; Smoc2; Tnf;","GO:0007165~signal transduction",12,1245,0.963855421686747,0.251678126835529,0.312888885153615
"Adgre4; Cd151; Clec1b; Fcer1g; Fcgr3;","GO:0007166~cell surface receptor signaling pathway",5,179,2.79329608938547,0.0135479287547174,0.120766874434933
"Gas6;","GO:0007167~enzyme linked receptor protein signaling pathway",1,8,12.5,0.0665656515907663,0.150683519637438
"Csf1r;","GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway",1,100,1,0.539136787831577,0.56826388124197
"Adgre4;","GO:0007173~epidermal growth factor receptor signaling pathway",1,46,2.17391304347826,0.302352193456331,0.354346799162603
"Hpgd;","GO:0007179~transforming growth factor beta receptor signaling pathway",1,71,1.40845070422535,0.424125172064296,0.462217465721768
"Adgre4; Ccl6; Ccl9; Cxcl2; Gng11; Ltb4r1; Ppbp; Ptgir;","GO:0007186~G-protein coupled receptor signaling pathway",8,1687,0.4742145820984,0.950944210969767,0.955746959510018
"Ptgir;","GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway",1,43,2.32558139534884,0.286117298909127,0.340534344993519
"Ltb4r1;","GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway",1,59,1.69491525423729,0.368566233053562,0.412512263091444
"Cxcl2;","GO:0007204~positive regulation of cytosolic calcium ion concentration",1,144,0.694444444444444,0.671507283120234,0.691666404456142
"Ltb4r1;","GO:0007218~neuropeptide signaling pathway",1,77,1.2987012987013,0.450053979069031,0.485161115031079
"Hp;","GO:0007219~Notch signaling pathway",1,112,0.892857142857143,0.579759683437323,0.606583475310344
"Fcer1g; Itga2b; Itgam;","GO:0007229~integrin-mediated signaling pathway",3,68,4.41176470588235,0.0170378941217443,0.120766874434933
"Tifab;","GO:0007249~I-kappaB kinase/NF-kappaB signaling",1,36,2.77777777777778,0.246760598759188,0.308838736811814
"Tnf;","GO:0007254~JNK cascade",1,33,3.03030303030303,0.22924007906151,0.294694933677264
"Trf;","GO:0007257~activation of JUN kinase activity",1,37,2.7027027027027,0.252512336460656,0.312888885153615
"Rasd1;","GO:0007263~nitric oxide mediated signal transduction",1,15,6.66666666666667,0.115277296922422,0.194408322775949
"Hmox1; Rhoj;","GO:0007264~small GTPase mediated signal transduction",2,127,1.5748031496063,0.258082274609333,0.318375848490968
"Kalrn; Rhoj;","GO:0007266~Rho protein signal transduction",2,53,3.77358490566038,0.0659772214246148,0.150683519637438
"Nfe2;","GO:0007267~cell-cell signaling",1,135,0.740740740740741,0.647931335103482,0.671553831695797
"Slc12a5;","GO:0007268~chemical synaptic transmission",1,157,0.636942675159236,0.702817105327556,0.721674943035004
"Epas1; Gadd45b; Ifi204; Lrp5; Tnf; Tnfrsf12a;","GO:0007275~multicellular organism development",6,1032,0.581395348837209,0.808282675171314,0.822332578522963
"P2rx1;","GO:0007320~insemination",1,2,50,0.0226968899691784,0.120766874434933
"Ly6k;","GO:0007339~binding of sperm to zona pellucida",1,35,2.85714285714286,0.2409648667063,0.304511209264592
"Tifab;","GO:0007356~thorax and anterior abdomen determination",1,3,33.3333333333333,0.0301481317627055,0.12498912959955
"Cln8; Igf1; Kalrn;","GO:0007399~nervous system development",3,412,0.728155339805825,0.615720670672665,0.640838982551571
"Kalrn;","GO:0007409~axonogenesis",1,106,0.943396226415094,0.55991393839041,0.588293947939237
"Csf1r;","GO:0007411~axon guidance",1,137,0.72992700729927,0.653311696744978,0.676425742207339
"Irs2;","GO:0007420~brain development",1,142,0.704225352112676,0.666407665317749,0.688552052950322
"Des;","GO:0007517~muscle organ development",1,64,1.5625,0.392335441513455,0.433748627006542
"Kalrn; Snta1;","GO:0007528~neuromuscular junction development",2,35,5.71428571428571,0.0323185128022225,0.128368323906424
"Hpgd;","GO:0007565~female pregnancy",1,28,3.57142857142857,0.199134482494494,0.269576612356491
"Hpgd;","GO:0007567~parturition",1,5,20,0.044881610440662,0.132908340441841
"Kalrn;","GO:0007595~lactation",1,32,3.125,0.223310346888766,0.290070228660996
"F5; Gas6; Gp6; Serping1;","GO:0007596~blood coagulation",4,75,5.33333333333333,0.00314056208779712,0.0844556561448143
"F5; Gp6; Serping1;","GO:0007599~hemostasis",3,46,6.52173913043478,0.00620121917691985,0.118657943866062
"Cln8; Col1a1; Epas1;","GO:0007601~visual perception",3,129,2.32558139534884,0.0801996170304045,0.162313810950542
"Col1a1;","GO:0007605~sensory perception of sound",1,147,0.680272108843537,0.679011757457871,0.69795113499027
"Igf1;","GO:0007608~sensory perception of smell",1,1135,0.0881057268722467,0.999866919017802,0.999999999937172
"Prkar1b;","GO:0007611~learning or memory",1,52,1.92307692307692,0.333729012913988,0.381240376405761
"Ptgs1; Slc12a5;","GO:0007612~learning",2,60,3.33333333333333,0.0812048555233078,0.16257310109797
"Igf1; Kalrn; Ptgs1;","GO:0007613~memory",3,81,3.7037037037037,0.0264503549550004,0.12498912959955
"Mttp; Igf1;","GO:0007623~circadian rhythm",2,73,2.73972602739726,0.11191608885308,0.194339456210846
"Cln8;","GO:0007628~adult walking behavior",1,43,2.32558139534884,0.286117298909127,0.340534344993519
"F5;","GO:0008015~blood circulation",1,15,6.66666666666667,0.115277296922422,0.194408322775949
"Dmpk; S100a1;","GO:0008016~regulation of heart contraction",2,25,8,0.0178961096105364,0.120766874434933
"Ank2;","GO:0008104~protein localization",1,81,1.23456790123457,0.466691696391126,0.50038603222971
"Clec4a1; Clec4a3; Gm10209; Gm16283; Gm6377; Gm9733; Ifitm6; Ms4a4a; Parp12; Sept10; Snhg14; Snord43; Snord83b; Svep1; Tmem51; Tspoap1; Wfdc17; Zcchc14;","GO:0008150~biological_process",18,6880,0.261627906976744,0.999999999937172,0.999999999937172
"Glb1l; Gstm1;","GO:0008152~metabolic process",2,438,0.45662100456621,0.851676839281264,0.862951583589468
"Ldlr; Mttp;","GO:0008202~steroid metabolic process",2,85,2.35294117647059,0.142451109851527,0.219409991179983
"Cln8; Ldlr; Lrp5; Mttp;","GO:0008203~cholesterol metabolic process",4,86,4.65116279069767,0.00500726047805899,0.103796336993098
"Star;","GO:0008211~glucocorticoid metabolic process",1,6,16.6666666666667,0.0521646952141753,0.137676052355715
"Hmox1; Lrp5; P2rx1; Ptgs1;","GO:0008217~regulation of blood pressure",4,60,6.66666666666667,0.0014506013281671,0.0743677202200929
"Hmox1;","GO:0008219~cell death",1,33,3.03030303030303,0.22924007906151,0.294694933677264
"Csf1r; Igf1; Irs2; Prkar1b; Tnf;","GO:0008283~cell proliferation",5,212,2.35849056603774,0.0255826269427575,0.12498912959955
"Alox12; Crip2; Csf1r; Igf1; Irs2; Lrp5; Tnf;","GO:0008284~positive regulation of cell proliferation",7,474,1.47679324894515,0.0759353713324519,0.160756796756999
"Csf1r; Hmox1; Igf1; Ndrg1; Nfe2; Tnf;","GO:0008285~negative regulation of cell proliferation",6,376,1.59574468085106,0.072835505282103,0.156323945439657
"Irs2;","GO:0008286~insulin receptor signaling pathway",1,54,1.85185185185185,0.343872990665619,0.391032715099761
"Cln8;","GO:0008306~associative learning",1,34,2.94117647058824,0.235124805812759,0.299550808941992
"Cln8; Kalrn;","GO:0008344~adult locomotory behavior",2,70,2.85714285714286,0.104582789542446,0.185821206419167
"Csf1r; Lst1; Rhoj;","GO:0008360~regulation of cell shape",3,133,2.25563909774436,0.0859126889297239,0.168249414439295
"Cln8;","GO:0008361~regulation of cell size",1,22,4.54545454545455,0.161461163273946,0.236603619230599
"Srsf12;","GO:0008380~RNA splicing",1,243,0.411522633744856,0.847035568912395,0.859123742169045
"Tnf;","GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors",1,28,3.57142857142857,0.199134482494494,0.269576612356491
"Hmox1; Tnf;","GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage",2,56,3.57142857142857,0.0723767397396957,0.156323945439657
"Slc5a11;","GO:0008643~carbohydrate transport",1,35,2.85714285714286,0.2409648667063,0.304511209264592
"Gas2l1; Gas6;","GO:0009267~cellular response to starvation",2,60,3.33333333333333,0.0812048555233078,0.16257310109797
"Cavin1;","GO:0009303~rRNA transcription",1,13,7.69230769230769,0.10162349771615,0.181210358830769
"Mttp;","GO:0009306~protein secretion",1,28,3.57142857142857,0.199134482494494,0.269576612356491
